Datum,Kraj,Okres,Obsadene_covid_lozka,Plucna_vent_lozka,Suspektni_JIS_OAIM,ICU,,,,,,
5/7/2020,BA,BA,0,0,0,0,,,,,,
5/7/2020,BA,MA,0,0,0,0,,,,,,
5/7/2020,BA,PK,0,0,0,0,,,,,,
5/7/2020,BA,PK,0,0,0,0,,,,,,
5/7/2020,KE,KE,0,0,0,0,,,,,,
5/7/2020,KE,KE,0,0,0,0,,,,,,
5/7/2020,KE,KE,0,0,0,0,,,,,,
5/7/2020,KE,KE,0,0,0,0,,,,,,
5/7/2020,KE,KE,0,0,0,0,,,,,,
5/7/2020,KE,KE,0,0,0,0,,,,,,
5/7/2020,KE,KE,0,0,0,0,,,,,,
5/7/2020,KE,KE,0,0,0,0,,,,,,
5/7/2020,KE,KE,0,0,0,0,,,,,,
5/7/2020,KE,KE,0,0,0,0,,,,,,
5/7/2020,KE,MI,1,0,0,0,,,,,,
5/7/2020,KE,MI,0,0,0,0,,,,,,
5/7/2020,KE,SV,0,0,0,0,,,,,,
5/7/2020,KE,SO,0,0,0,0,,,,,,
5/7/2020,KE,SN,0,0,0,0,,,,,,
5/7/2020,KE,SN,0,0,0,0,,,,,,
5/7/2020,KE,TV,0,0,0,0,,,,,,
5/7/2020,KE,TV,0,0,0,0,,,,,,
5/7/2020,NR,KN,0,0,0,0,,,,,,
5/7/2020,NR,KN,0,0,0,0,,,,,,
5/7/2020,NR,LV,0,0,0,0,,,,,,
5/7/2020,NR,LV,0,0,0,0,,,,,,
5/7/2020,NR,LV,0,0,0,0,,,,,,
5/7/2020,NR,NR,0,0,3,0,,,,,,
5/7/2020,NR,NR,0,0,0,0,,,,,,
5/7/2020,NR,NR,0,0,0,0,,,,,,
5/7/2020,NR,NR,0,0,0,0,,,,,,
5/7/2020,NR,NZ,0,0,3,0,,,,,,
5/7/2020,NR,TO,0,0,0,0,,,,,,
5/7/2020,NR,ZM,0,0,0,0,,,,,,
5/7/2020,PO,BJ,0,0,0,0,,,,,,
5/7/2020,PO,BJ,0,0,0,0,,,,,,
5/7/2020,PO,HE,0,0,0,0,,,,,,
5/7/2020,PO,HE,0,0,0,0,,,,,,
5/7/2020,PO,KK,0,0,0,0,,,,,,
5/7/2020,PO,LE,0,0,0,0,,,,,,
5/7/2020,PO,PP,0,0,0,0,,,,,,
5/7/2020,PO,PP,0,0,0,0,,,,,,
5/7/2020,PO,PP,0,0,0,0,,,,,,
5/7/2020,PO,PP,0,0,0,0,,,,,,
5/7/2020,PO,PP,0,0,0,0,,,,,,
