,MeanR,StdR,EnoughData
2020-11-16,0.863011755,0.006113231,1
2020-11-17,0.86895458,0.006255133,1
2020-11-18,0.823143562,0.006196041,1
2020-11-19,0.836445005,0.006692971,1
2020-11-20,0.842794419,0.006865253,1
2020-11-21,0.840784789,0.006996832,1
2020-11-22,0.832158871,0.007237121,1
2020-11-23,0.843286193,0.007520967,1
2020-11-24,0.86748761,0.007887486,1
2020-11-25,0.879928954,0.008044064,1
2020-11-26,0.872027248,0.007991383,1
2020-11-27,0.88358654,0.008178458,1
2020-11-28,0.89110919,0.008247962,1
2020-11-29,0.904354223,0.008362901,1
2020-11-30,0.905408181,0.008365551,1
2020-12-01,0.916937911,0.008355571,1
2020-12-02,0.967781073,0.00850024,1
2020-12-03,0.993207377,0.008586865,1
2020-12-04,1.015113193,0.008439659,1
2020-12-05,1.024321144,0.008164844,1
2020-12-06,1.034306547,0.008019885,1
2020-12-07,1.043960459,0.007776705,1
2020-12-08,1.082242686,0.007742203,1
2020-12-09,1.106576692,0.007883083,1
2020-12-10,1.144949593,0.007997694,1
2020-12-11,1.13483412,0.008155836,1
2020-12-12,1.208068163,0.00828767,1
2020-12-13,1.220776003,0.009058839,1
2020-12-14,1.190775475,0.009283706,1
2020-12-15,1.181573293,0.009362487,1
2020-12-16,1.205020236,0.009515354,1
2020-12-17,1.20678028,0.009755393,1
2020-12-18,1.233538308,0.010063713,1
2020-12-19,1.227394415,0.010266686,1
2020-12-20,1.20837247,0.010408464,1
2020-12-21,1.186907549,0.010307693,1
2020-12-22,1.170688684,0.010156268,1
2020-12-23,1.17082087,0.009919145,1
2020-12-24,1.123057516,0.009456073,1
2020-12-25,1.151746416,0.009305721,1
2020-12-26,1.04691434,0.008390102,1
2020-12-27,0.992397115,0.007751472,1
2020-12-28,0.990048704,0.00738555,1
2020-12-29,0.993586276,0.006854337,1
2020-12-30,0.981228853,0.006473594,1
2020-12-31,1.078984049,0.006488,1
2021-01-01,1.10249041,0.006218142,1
2021-01-02,1.047592643,0.006038108,1
2021-01-03,1.011115704,0.005986762,1
2021-01-04,0.989080694,0.005805866,1
2021-01-05,0.997881431,0.005782335,1
2021-01-06,1.034611518,0.005780207,1
2021-01-07,1.01811055,0.005610911,1
2021-01-08,0.984930491,0.0054265,1
2021-01-09,1.068704585,0.005703838,1
2021-01-10,1.121606552,0.005759123,1
2021-01-11,1.112709303,0.00593253,1
2021-01-12,1.099708078,0.006164556,1
2021-01-13,1.093216964,0.006319098,1
2021-01-14,0.987577467,0.00595607,1
2021-01-15,0.923389684,0.005524756,1
2021-01-16,0.937290789,0.005477168,1
2021-01-17,0.931860838,0.005362041,1
2021-01-18,0.9551231,0.00544841,1
2021-01-19,0.936970064,0.005229916,1
2021-01-20,0.880508659,0.005077313,1
2021-01-21,0.904132477,0.005426107,1
2021-01-22,0.888179112,0.005495748,1
2021-01-23,0.833859587,0.005425251,1
2021-01-24,0.824051287,0.005870585,1
2021-01-25,0.840441051,0.006404755,1
2021-01-26,0.841552601,0.006776367,1
2021-01-27,0.841235941,0.00695659,1
2021-01-28,0.836910554,0.00717557,1
2021-01-29,0.856822927,0.007512153,1
2021-01-30,0.88546463,0.007857839,1
2021-01-31,0.947576393,0.008278396,1
2021-02-01,0.939746384,0.008012591,1
2021-02-02,0.943124552,0.007755552,1
2021-02-03,0.961022199,0.007584088,1
2021-02-04,0.953828911,0.007267388,1
2021-02-05,0.99189842,0.007278212,1
2021-02-06,1.021953233,0.007291426,1
2021-02-07,1.007169354,0.006948856,1
2021-02-08,1.011789065,0.006784046,1
2021-02-09,1.013840268,0.006569292,1
2021-02-10,1.025823138,0.006454731,1
2021-02-11,1.038219512,0.00641955,1
2021-02-12,1.026467244,0.006372202,1
2021-02-13,1.025655404,0.006281494,1
2021-02-14,1.010265517,0.006186314,1
2021-02-15,1.011248125,0.006110894,1
2021-02-16,0.998145666,0.006047459,1
2021-02-17,1.012788163,0.006087793,1
2021-02-18,1.028853572,0.006137363,1
2021-02-19,1.014558704,0.006019187,1
2021-02-20,1.027495799,0.006122832,1
2021-02-21,1.028154763,0.00614304,1
2021-02-22,1.019296268,0.005988965,1
2021-02-23,1.024604237,0.006043775,1
2021-02-24,1.033548832,0.006023699,1
2021-02-25,1.026475047,0.006072719,1
2021-02-26,1.028690281,0.006147772,1
2021-02-27,1.041572438,0.006066604,1
2021-02-28,1.047781305,0.006051413,1
2021-03-01,1.049045585,0.006175705,1
2021-03-02,1.061815764,0.006181284,1
2021-03-03,1.058008779,0.006301441,1
2021-03-04,1.055291262,0.006237879,1
2021-03-05,1.047648406,0.006258429,1
