"Date";"Region";"Region_code";"Vaccine_name";"first_dose";"second_dose"
2021-05-17;"Banskobystrický kraj";"SK032";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;409
2021-05-17;"Banskobystrický kraj";"SK032";"COVID-19 Vaccine Moderna injekèná disperzia";88;336
2021-05-17;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekènú disperziu";5531;1045
2021-05-17;"Bratislavský kraj";"SK010";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;88
2021-05-17;"Bratislavský kraj";"SK010";"COVID-19 Vaccine Moderna injekèná disperzia";423;1033
2021-05-17;"Košický kraj";"SK042";"Comirnaty koncentrát na injekènú disperziu";2101;732
2021-05-17;"Košický kraj";"SK042";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;107
2021-05-17;"Košický kraj";"SK042";"COVID-19 Vaccine Moderna injekèná disperzia";85;1903
2021-05-17;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekènú disperziu";2632;1222
2021-05-17;"Nitriansky kraj";"SK023";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;0
2021-05-17;"Nitriansky kraj";"SK023";"COVID-19 Vaccine Moderna injekèná disperzia";45;87
2021-05-17;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekènú disperziu";2982;669
2021-05-17;"Prešovský kraj";"SK041";"COVID-19 Vaccine Moderna injekèná disperzia";273;476
2021-05-17;"Trenèiansky kraj";"SK022";"Comirnaty koncentrát na injekènú disperziu";1182;683
2021-05-17;"Trenèiansky kraj";"SK022";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;55
2021-05-17;"Trenèiansky kraj";"SK022";"COVID-19 Vaccine Moderna injekèná disperzia";538;38
2021-05-17;"Trnavský kraj";"SK021";"Comirnaty koncentrát na injekènú disperziu";1329;510
2021-05-17;"Trnavský kraj";"SK021";"COVID-19 Vaccine Moderna injekèná disperzia";316;156
2021-05-17;"Žilinský kraj";"SK031";"Comirnaty koncentrát na injekènú disperziu";1477;1526
2021-05-17;"Žilinský kraj";"SK031";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;177
2021-05-17;"Žilinský kraj";"SK031";"COVID-19 Vaccine Moderna injekèná disperzia";323;98
2021-05-16;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekènú disperziu";309;1
2021-05-16;"Banskobystrický kraj";"SK032";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;1239
2021-05-16;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekènú disperziu";3218;177
2021-05-16;"Bratislavský kraj";"SK010";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;0
2021-05-16;"Košický kraj";"SK042";"Comirnaty koncentrát na injekènú disperziu";1973;1
2021-05-16;"Košický kraj";"SK042";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";986;8
2021-05-16;"Košický kraj";"SK042";"COVID-19 Vaccine Moderna injekèná disperzia";0;0
2021-05-16;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekènú disperziu";2425;2
2021-05-16;"Nitriansky kraj";"SK023";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;1680
2021-05-16;"Nitriansky kraj";"SK023";"COVID-19 Vaccine Moderna injekèná disperzia";870;0
2021-05-16;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekènú disperziu";1551;0
2021-05-16;"Prešovský kraj";"SK041";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;4942
2021-05-16;"Prešovský kraj";"SK041";"COVID-19 Vaccine Moderna injekèná disperzia";0;0
2021-05-16;"Trenèiansky kraj";"SK022";"Comirnaty koncentrát na injekènú disperziu";3370;2
2021-05-16;"Trenèiansky kraj";"SK022";"COVID-19 Vaccine Moderna injekèná disperzia";508;2
2021-05-16;"Trnavský kraj";"SK021";"Comirnaty koncentrát na injekènú disperziu";5316;0
2021-05-16;"Trnavský kraj";"SK021";"COVID-19 Vaccine Moderna injekèná disperzia";2134;0
2021-05-16;"Žilinský kraj";"SK031";"Comirnaty koncentrát na injekènú disperziu";311;0
2021-05-16;"Žilinský kraj";"SK031";"COVID-19 Vaccine AstraZeneca injekèná suspenzia";0;1169
2021-05-15;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekènú disperziu";1147;0
