"Variables ->","Rt","Rt_real"
"Comments ->","",""
"Class[Size] ->","tseries[315-by-1]","tseries[315-by-1]"
"2020-Sep-25",1.39635442e+00,1.39602568e+00
"2020-Sep-26",1.38403023e+00,1.34471699e+00
"2020-Sep-27",1.35986941e+00,1.28519141e+00
"2020-Sep-28",1.32335290e+00,1.22552796e+00
"2020-Sep-29",1.27539025e+00,1.17217333e+00
"2020-Sep-30",1.21884072e+00,1.15375936e+00
"2020-Oct-01",1.15890988e+00,1.16048771e+00
"2020-Oct-02",1.10289146e+00,1.18368347e+00
"2020-Oct-03",1.05955542e+00,1.20241967e+00
"2020-Oct-04",1.03811288e+00,1.21246199e+00
"2020-Oct-05",1.04644964e+00,1.20502834e+00
"2020-Oct-06",1.08827162e+00,1.18104972e+00
"2020-Oct-07",1.16018252e+00,1.17629314e+00
"2020-Oct-08",1.25069534e+00,1.20260875e+00
"2020-Oct-09",1.34278809e+00,1.26798778e+00
"2020-Oct-10",1.41950186e+00,1.36439291e+00
"2020-Oct-11",1.46965117e+00,1.48512372e+00
"2020-Oct-12",1.49038887e+00,1.56120438e+00
"2020-Oct-13",1.48568094e+00,1.60309585e+00
"2020-Oct-14",1.46316074e+00,1.60016833e+00
"2020-Oct-15",1.43126572e+00,1.57214126e+00
"2020-Oct-16",1.39724455e+00,1.52638115e+00
"2020-Oct-17",1.36600533e+00,1.49094552e+00
"2020-Oct-18",1.34002914e+00,1.45478548e+00
"2020-Oct-19",1.31954643e+00,1.43160076e+00
"2020-Oct-20",1.30295140e+00,1.40638978e+00
"2020-Oct-21",1.28756082e+00,1.37620744e+00
"2020-Oct-22",1.27057892e+00,1.34242699e+00
"2020-Oct-23",1.24971445e+00,1.30805456e+00
"2020-Oct-24",1.22366722e+00,1.26280824e+00
"2020-Oct-25",1.19231734e+00,1.21782025e+00
"2020-Oct-26",1.15653812e+00,1.17670585e+00
"2020-Oct-27",1.11781030e+00,1.13702037e+00
"2020-Oct-28",1.07793077e+00,1.10047868e+00
"2020-Oct-29",1.03868845e+00,1.07670159e+00
"2020-Oct-30",1.00164282e+00,1.06099017e+00
"2020-Oct-31",9.68057515e-01,1.05094315e+00
"2020-Nov-01",9.38844659e-01,1.04650160e+00
"2020-Nov-02",9.14478564e-01,1.04550203e+00
"2020-Nov-03",8.94993932e-01,1.03803015e+00
"2020-Nov-04",8.79961833e-01,1.02582271e+00
