"Variables ->","newcases_rep","newcases_imp","newcases_imp_fcast","test_eff","H_imp","H_rep","D_imp","D_rep"
"Comments ->","","","","","","","",""
"Class[Size] ->","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]"
"2020-Oct-28",2.62340000e+03,2.76289650e+03,NaN,9.13873701e+01,1.12954607e+03,1.16748800e+03,2.92768997e+02,2.90094643e+02
"2020-Oct-29",2.58184000e+03,2.75418350e+03,NaN,8.99822676e+01,1.18361921e+03,1.22502400e+03,3.07713613e+02,3.05629167e+02
"2020-Oct-30",2.51846400e+03,2.75798665e+03,NaN,8.82034593e+01,1.22990874e+03,1.27514400e+03,3.23821196e+02,3.22409524e+02
"2020-Oct-31",2.44342400e+03,2.77061342e+03,NaN,8.61148867e+01,1.26807247e+03,1.31747200e+03,3.41404232e+02,3.40763095e+02
"2020-Nov-01",2.36178400e+03,2.79051406e+03,NaN,8.38180001e+01,1.29771397e+03,1.35178400e+03,3.60673923e+02,3.60920238e+02
"2020-Nov-02",2.27634400e+03,2.82071063e+03,NaN,8.14347576e+01,1.31794031e+03,1.37945600e+03,3.81702418e+02,3.82975000e+02
"2020-Nov-03",2.19568000e+03,2.85844041e+03,NaN,7.90872982e+01,1.32887332e+03,1.40179200e+03,4.04400205e+02,4.06876190e+02
"2020-Nov-04",2.12598400e+03,2.87799951e+03,NaN,7.68775407e+01,1.33236394e+03,1.42088800e+03,4.28517664e+02,4.32432143e+02
"2020-Nov-05",2.06682400e+03,2.87965151e+03,NaN,7.48708964e+01,1.32712628e+03,1.43874400e+03,4.53686938e+02,4.59339286e+02
"2020-Nov-06",2.01946400e+03,2.86422112e+03,NaN,7.30884784e+01,1.31534495e+03,1.45680800e+03,4.79435881e+02,4.87228571e+02
"2020-Nov-07",1.98286400e+03,2.82823977e+03,NaN,7.15093926e+01,1.29603799e+03,1.47376000e+03,5.05285959e+02,5.15713095e+02
"2020-Nov-08",1.94556000e+03,2.77403196e+03,NaN,7.00826311e+01,1.27062972e+03,1.48880000e+03,5.30800241e+02,5.44434524e+02
"2020-Nov-09",1.90079200e+03,2.72169750e+03,NaN,6.87461527e+01,1.24085155e+03,1.50050400e+03,5.55653034e+02,5.73102976e+02
"2020-Nov-10",1.84549600e+03,2.67180608e+03,NaN,6.74482749e+01,1.20696996e+03,1.50754400e+03,5.79666841e+02,6.01527381e+02
"2020-Nov-11",1.77660800e+03,2.62418522e+03,NaN,6.61654614e+01,1.16857467e+03,1.50940000e+03,6.02771577e+02,6.29616667e+02
"2020-Nov-12",1.69336800e+03,2.58329427e+03,NaN,6.49120392e+01,1.12866721e+03,1.50840000e+03,6.24977727e+02,6.57378571e+02
"2020-Nov-13",1.60744000e+03,2.54765103e+03,NaN,6.37391763e+01,1.08999689e+03,1.50703200e+03,6.46337761e+02,6.84864881e+02
"2020-Nov-14",1.52566400e+03,2.51186043e+03,NaN,6.27228383e+01,1.05440465e+03,1.50643200e+03,6.66907597e+02,7.12138095e+02
"2020-Nov-15",1.45634400e+03,2.47751192e+03,NaN,6.19437691e+01,1.01852619e+03,1.50712800e+03,6.86724629e+02,7.39228571e+02
"2020-Nov-16",1.40895200e+03,2.44724871e+03,NaN,6.14646225e+01,9.79632098e+02,1.50884000e+03,7.05764178e+02,7.66117262e+02
"2020-Nov-17",1.39219200e+03,2.42000493e+03,NaN,6.13100676e+01,9.39977958e+02,1.50999200e+03,7.23865419e+02,7.92714286e+02
"2020-Nov-18",1.40208800e+03,2.39811894e+03,NaN,6.14552603e+01,8.99924522e+02,1.50852800e+03,7.40883051e+02,8.18885714e+02
"2020-Nov-19",1.43659200e+03,2.38148530e+03,NaN,6.18263607e+01,8.61063772e+02,1.50500000e+03,7.56726784e+02,8.44495238e+02
"2020-Nov-20",1.48561600e+03,2.37123828e+03,NaN,6.23135473e+01,8.24577237e+02,1.50028800e+03,7.71407807e+02,8.69466071e+02
"2020-Nov-21",1.53556800e+03,2.36534325e+03,NaN,6.27941681e+01,7.91129700e+02,1.49516800e+03,7.85052066e+02,8.93830357e+02
"2020-Nov-22",1.57285600e+03,2.36446006e+03,NaN,6.31606209e+01,7.65589123e+02,1.49068000e+03,7.97863269e+02,9.17742262e+02
"2020-Nov-23",1.59426400e+03,2.37253476e+03,NaN,6.33461146e+01,7.50435183e+02,1.48812000e+03,8.10130899e+02,9.41479167e+02
"2020-Nov-24",1.59621600e+03,2.40531992e+03,NaN,6.33417076e+01,7.45131875e+02,1.48778400e+03,8.22186561e+02,9.65399405e+02
"2020-Nov-25",1.58727200e+03,2.45872828e+03,NaN,6.32000987e+01,7.47531385e+02,1.49032800e+03,8.34368171e+02,9.89900595e+02
"2020-Nov-26",1.57949600e+03,2.53449334e+03,NaN,6.30243122e+01,7.57082484e+02,1.49722400e+03,8.46938428e+02,1.01533869e+03
"2020-Nov-27",1.58495200e+03,2.63300991e+03,NaN,6.29441285e+01,7.72809033e+02,1.50968000e+03,8.60072369e+02,1.04196369e+03
"2020-Nov-28",1.60888800e+03,2.74124000e+03,NaN,6.30861306e+01,7.93747728e+02,1.52796000e+03,8.73854012e+02,1.06986905e+03
"2020-Nov-29",1.65667200e+03,2.81366862e+03,NaN,6.35446610e+01,8.17908194e+02,1.55156800e+03,8.88282713e+02,1.09899881e+03
"2020-Nov-30",1.72062400e+03,2.85347455e+03,NaN,6.43608229e+01,8.43947482e+02,1.57958400e+03,9.03311033e+02,1.12917202e+03
"2020-Dec-01",1.79189600e+03,2.85848749e+03,NaN,6.55152659e+01,8.70205745e+02,1.61028000e+03,9.18826290e+02,1.16013810e+03
"2020-Dec-02",1.86240800e+03,2.82706058e+03,NaN,6.69357341e+01,9.00454009e+02,1.64213600e+03,9.34724720e+02,1.19165000e+03
"2020-Dec-03",1.92654400e+03,2.77207847e+03,NaN,6.85167928e+01,9.34248631e+02,1.67456000e+03,9.50994770e+02,1.22354048e+03
"2020-Dec-04",1.97868800e+03,2.73724628e+03,NaN,7.01465996e+01,9.72422120e+02,1.70772800e+03,9.67738604e+02,1.25579524e+03
"2020-Dec-05",2.02203200e+03,2.72187329e+03,NaN,7.17338497e+01,1.01425399e+03,1.74155200e+03,9.85167019e+02,1.28858690e+03
"2020-Dec-06",2.05976800e+03,2.72700509e+03,NaN,7.32274052e+01,1.06156516e+03,1.77620000e+03,1.00359010e+03,1.32227619e+03
"2020-Dec-07",2.09278400e+03,2.75297568e+03,NaN,7.46242016e+01,1.11354550e+03,1.81158400e+03,1.02339457e+03,1.35739048e+03
"2020-Dec-08",2.12823200e+03,2.80172002e+03,NaN,7.59638181e+01,1.16975814e+03,1.84751200e+03,1.04504000e+03,1.39457857e+03
"2020-Dec-09",2.17326400e+03,2.85835450e+03,NaN,7.73108227e+01,1.22900278e+03,1.88327200e+03,1.06897314e+03,1.43447143e+03
"2020-Dec-10",2.23350400e+03,2.92066780e+03,NaN,7.87289503e+01,1.29093145e+03,1.91912000e+03,1.09559537e+03,1.47760119e+03
"2020-Dec-11",2.31457600e+03,2.98770649e+03,NaN,8.02538774e+01,1.35526649e+03,1.95567200e+03,1.12520729e+03,1.52430357e+03
"2020-Dec-12",2.42440800e+03,3.05594736e+03,NaN,8.18710182e+01,1.42055646e+03,1.99258400e+03,1.15793218e+03,1.57460833e+03
