"Variables ->","Rt","Rt_real"
"Comments ->","",""
"Class[Size] ->","tseries[315-by-1]","tseries[315-by-1]"
"2020-Sep-30",1.51967717e+00,1.57429214e+00
"2020-Oct-01",1.50976134e+00,1.60071363e+00
"2020-Oct-02",1.50627886e+00,1.63529599e+00
"2020-Oct-03",1.50942544e+00,1.67604244e+00
"2020-Oct-04",1.51886447e+00,1.71974691e+00
"2020-Oct-05",1.53358511e+00,1.76263304e+00
"2020-Oct-06",1.55191603e+00,1.80067818e+00
"2020-Oct-07",1.57227487e+00,1.83022002e+00
"2020-Oct-08",1.59214712e+00,1.84868261e+00
"2020-Oct-09",1.60887837e+00,1.85468765e+00
"2020-Oct-10",1.62116100e+00,1.84797685e+00
"2020-Oct-11",1.62840677e+00,1.82932058e+00
"2020-Oct-12",1.63048891e+00,1.80011242e+00
"2020-Oct-13",1.62757722e+00,1.76214991e+00
"2020-Oct-14",1.61986432e+00,1.71751427e+00
"2020-Oct-15",1.60792264e+00,1.66822849e+00
"2020-Oct-16",1.59284715e+00,1.61610696e+00
"2020-Oct-17",1.57554491e+00,1.56279839e+00
"2020-Oct-18",1.55649909e+00,1.50971809e+00
"2020-Oct-19",1.53622157e+00,1.45803184e+00
"2020-Oct-20",1.51504341e+00,1.40871487e+00
"2020-Oct-21",1.49301558e+00,1.36250623e+00
"2020-Oct-22",1.47000987e+00,1.31993667e+00
"2020-Oct-23",1.44581088e+00,1.28138563e+00
"2020-Oct-24",1.42037387e+00,1.24704991e+00
"2020-Oct-25",1.39386673e+00,1.21693495e+00
"2020-Oct-26",1.36633764e+00,1.19093911e+00
"2020-Oct-27",1.33763358e+00,1.16886051e+00
"2020-Oct-28",1.30777446e+00,1.15039735e+00
"2020-Oct-29",1.27704207e+00,1.13518457e+00
"2020-Oct-30",1.24591913e+00,1.12280020e+00
"2020-Oct-31",1.21479485e+00,1.11281756e+00
"2020-Nov-01",1.18399080e+00,1.10486705e+00
"2020-Nov-02",1.15386296e+00,1.09864037e+00
"2020-Nov-03",1.12489686e+00,1.09387888e+00
"2020-Nov-04",1.09752435e+00,1.09039548e+00
"2020-Nov-05",1.07200145e+00,1.08808168e+00
"2020-Nov-06",1.04853327e+00,1.08692279e+00
"2020-Nov-07",1.02742111e+00,1.08698283e+00
"2020-Nov-08",1.00897870e+00,1.08837351e+00
"2020-Nov-09",9.93285911e-01,1.09123124e+00
"2020-Nov-10",9.80275178e-01,1.09570115e+00
"2020-Nov-11",9.69938863e-01,1.10191700e+00
"2020-Nov-12",9.62364348e-01,1.10998200e+00
"2020-Nov-13",9.57664355e-01,1.11992011e+00
"2020-Nov-14",9.55748085e-01,1.13164902e+00
"2020-Nov-15",9.56459483e-01,1.14497257e+00
"2020-Nov-16",9.59729770e-01,1.15956622e+00
"2020-Nov-17",9.65592655e-01,1.17497856e+00
"2020-Nov-18",9.73931266e-01,1.19067698e+00
"2020-Nov-19",9.84480119e-01,1.20609776e+00
"2020-Nov-20",9.97157382e-01,1.22068744e+00
"2020-Nov-21",1.01190572e+00,1.23395853e+00
"2020-Nov-22",1.02875938e+00,1.24550646e+00
"2020-Nov-23",1.04752349e+00,1.25505664e+00
"2020-Nov-24",1.06807075e+00,1.26251667e+00
"2020-Nov-25",1.09035695e+00,1.26796416e+00
"2020-Nov-26",1.11436213e+00,1.27159484e+00
"2020-Nov-27",1.13987891e+00,1.27370341e+00
"2020-Nov-28",1.16661266e+00,1.27465126e+00
"2020-Nov-29",1.19421935e+00,1.27483178e+00
"2020-Nov-30",1.22243995e+00,1.27464104e+00
"2020-Dec-01",1.25080303e+00,1.27445684e+00
"2020-Dec-02",1.27853682e+00,1.27462367e+00
"2020-Dec-03",1.30490982e+00,1.27545933e+00
"2020-Dec-04",1.32934911e+00,1.27724857e+00
"2020-Dec-05",1.35131400e+00,1.28022523e+00
"2020-Dec-06",1.37021818e+00,1.28458837e+00
"2020-Dec-07",1.38576169e+00,1.29052431e+00
"2020-Dec-08",1.39743749e+00,1.29818282e+00
"2020-Dec-09",1.40498073e+00,1.30763957e+00
"2020-Dec-10",1.40825044e+00,1.31887979e+00
"2020-Dec-11",1.40715731e+00,1.33176967e+00
"2020-Dec-12",1.40182433e+00,1.34604425e+00
"2020-Dec-13",1.39296632e+00,1.36131420e+00
"2020-Dec-14",1.38118934e+00,1.37706692e+00
"2020-Dec-15",1.36704306e+00,1.39268244e+00
"2020-Dec-16",1.35127559e+00,1.40749921e+00
"2020-Dec-17",1.33461560e+00,1.42086491e+00
"2020-Dec-18",1.31801395e+00,1.43218783e+00
"2020-Dec-19",1.30279343e+00,1.44101816e+00
"2020-Dec-20",1.28975225e+00,1.44708953e+00
"2020-Dec-21",1.27929536e+00,1.45032272e+00
"2020-Dec-22",1.27206006e+00,1.45083144e+00
"2020-Dec-23",1.26836169e+00,1.44889034e+00
"2020-Dec-24",1.26808134e+00,1.44488837e+00
"2020-Dec-25",1.27099678e+00,1.43930148e+00
"2020-Dec-26",1.27651447e+00,1.43264484e+00
"2020-Dec-27",1.28365575e+00,1.42541830e+00
"2020-Dec-28",1.29156611e+00,1.41807950e+00
"2020-Dec-29",1.29875490e+00,1.41090654e+00
"2020-Dec-30",1.30400288e+00,1.40391674e+00
"2020-Dec-31",1.30660701e+00,1.39692689e+00
"2021-Jan-01",1.30651750e+00,1.38963070e+00
"2021-Jan-02",1.30299082e+00,1.38155774e+00
"2021-Jan-03",1.29618977e+00,1.37196291e+00
"2021-Jan-04",1.28611482e+00,1.35948010e+00
"2021-Jan-05",1.27248530e+00,1.34271571e+00
"2021-Jan-06",1.25567840e+00,1.32184364e+00
"2021-Jan-07",1.23760467e+00,1.29590851e+00
"2021-Jan-08",1.22112148e+00,1.26386091e+00
"2021-Jan-09",1.20444487e+00,1.22344823e+00
"2021-Jan-10",1.18566973e+00,1.17368207e+00
"2021-Jan-11",1.16879242e+00,1.12537846e+00
"2021-Jan-12",1.15366426e+00,1.07006019e+00
"2021-Jan-13",1.14000840e+00,1.00030470e+00
"2021-Jan-14",1.14171071e+00,9.26317990e-01
