"","date","X0.1","X0.25","X0.5","X0.75","X0.9","newcases"
"29",2021-03-16,3608,3988.25,4595,5447.75,6324,NA
"30",2021-03-15,3159,3476,3986,4708.25,5510.1,NA
"31",2021-03-14,1989,2207.75,2574.5,3022.5,3581.1,NA
"32",2021-03-13,4080.9,4447.25,5052,5839,6623.3,NA
"33",2021-03-12,3460,3750.25,4232,4878.25,5537,NA
"34",2021-03-11,3168.8,3419.75,3858,4427,5047.1,NA
"35",2021-03-10,3373.9,3622.75,4049.5,4642,5183.4,NA
"36",2021-03-09,3944.8,4209.75,4644.5,5315.25,5872.8,NA
"37",2021-03-08,3454.9,3689,4057,4589.25,5073,NA
"38",2021-03-07,2217.8,2381,2618,2976.5,3290,NA
"39",2021-03-06,4374,4652.5,5029,5591,6155.1,NA
"40",2021-03-05,3816,4018,4328,4746.25,5163.1,NA
"41",2021-03-04,3500.9,3711.75,3987.5,4336,4664.3,NA
"42",2021-03-03,3705.8,3903.75,4174,4501.25,4841.2,NA
"43",2021-03-02,4249.8,4489.25,4761.5,5090,5450.2,NA
"44",2021-03-01,3806.9,3994,4214,4477.25,4735,NA
"45",2021-02-28,2422,2570,2749,2930,3119,NA
"46",2021-02-27,4440.9,4844,5210,5516.25,5793.1,NA
"47",2021-02-26,4149,4328,4540,4751,4946,NA
"48",2021-02-25,3789.6,3974,4163,4354.25,4542.1,NA
"49",2021-02-24,NA,NA,NA,NA,NA,4902
"50",2021-02-23,NA,NA,NA,NA,NA,6234
"51",2021-02-22,NA,NA,NA,NA,NA,5206
"52",2021-02-21,NA,NA,NA,NA,NA,3264
"53",2021-02-20,NA,NA,NA,NA,NA,6627
"54",2021-02-19,NA,NA,NA,NA,NA,6103
"55",2021-02-18,NA,NA,NA,NA,NA,4945
"56",2021-02-17,NA,NA,NA,NA,NA,5214
"57",2021-02-16,NA,NA,NA,NA,NA,5806
"58",2021-02-15,NA,NA,NA,NA,NA,4562
"59",2021-02-14,NA,NA,NA,NA,NA,3355
"60",2021-02-13,NA,NA,NA,NA,NA,6088
"61",2021-02-12,NA,NA,NA,NA,NA,5542
"62",2021-02-11,NA,NA,NA,NA,NA,4889
"63",2021-02-10,NA,NA,NA,NA,NA,5335
"64",2021-02-09,NA,NA,NA,NA,NA,6148
"65",2021-02-08,NA,NA,NA,NA,NA,5325
"66",2021-02-07,NA,NA,NA,NA,NA,4035
"67",2021-02-06,NA,NA,NA,NA,NA,7055
"68",2021-02-05,NA,NA,NA,NA,NA,5352
"69",2021-02-04,NA,NA,NA,NA,NA,5599
"70",2021-02-03,NA,NA,NA,NA,NA,5339
"71",2021-02-02,NA,NA,NA,NA,NA,5686
"72",2021-02-01,NA,NA,NA,NA,NA,5148
"73",2021-01-31,NA,NA,NA,NA,NA,3347
"74",2021-01-30,NA,NA,NA,NA,NA,6151
"75",2021-01-29,NA,NA,NA,NA,NA,4843
"76",2021-01-28,NA,NA,NA,NA,NA,4650
"77",2021-01-27,NA,NA,NA,NA,NA,3796
"78",2021-01-26,NA,NA,NA,NA,NA,5416
"79",2021-01-25,NA,NA,NA,NA,NA,4456
"80",2021-01-24,NA,NA,NA,NA,NA,2964
"81",2021-01-23,NA,NA,NA,NA,NA,6042
"82",2021-01-22,NA,NA,NA,NA,NA,4299
"83",2021-01-21,NA,NA,NA,NA,NA,4990
"84",2021-01-20,NA,NA,NA,NA,NA,4840
"85",2021-01-19,NA,NA,NA,NA,NA,5327
"86",2021-01-18,NA,NA,NA,NA,NA,5164
"87",2021-01-17,NA,NA,NA,NA,NA,2688
"88",2021-01-16,NA,NA,NA,NA,NA,4269
"89",2021-01-15,NA,NA,NA,NA,NA,4236
"90",2021-01-14,NA,NA,NA,NA,NA,5003
