"Variables ->","Q_025","Q_05","Q_10","Q_15","Q_20","Q_25","Q_30","Q_35","Q_40","Q_45","Q_50","Q_55","Q_60","Q_65","Q_70","Q_75","Q_80","Q_85","Q_90","Q_95","Q_975","median","mean","std"
"Comments ->","","","","","","","","","","","","","","","","","","","","","","","",""
"Class[Size] ->","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]"
"2020-Sep-13",1.12073174e+00,1.13214044e+00,1.14539016e+00,1.15438803e+00,1.16157287e+00,1.16776058e+00,1.17333607e+00,1.17851842e+00,1.18345008e+00,1.18823459e+00,1.19295583e+00,1.19768956e+00,1.20251235e+00,1.20751067e+00,1.21279310e+00,1.21851091e+00,1.22489904e+00,1.23237326e+00,1.24182053e+00,1.25591112e+00,1.26821823e+00,1.19295583e+00,1.19335130e+00,3.76280775e-02
"2020-Sep-14",1.13059541e+00,1.14186682e+00,1.15495512e+00,1.16384220e+00,1.17093788e+00,1.17704833e+00,1.18255381e+00,1.18767079e+00,1.19253995e+00,1.19726357e+00,1.20192447e+00,1.20659744e+00,1.21135809e+00,1.21629173e+00,1.22150551e+00,1.22714867e+00,1.23345297e+00,1.24082857e+00,1.25015033e+00,1.26405199e+00,1.27619241e+00,1.20192447e+00,1.20230699e+00,3.71458842e-02
"2020-Sep-15",1.15880560e+00,1.17004570e+00,1.18309512e+00,1.19195428e+00,1.19902680e+00,1.20511669e+00,1.21060317e+00,1.21570208e+00,1.22055368e+00,1.22525994e+00,1.22990337e+00,1.23455853e+00,1.23930069e+00,1.24421484e+00,1.24940763e+00,1.25502763e+00,1.26130554e+00,1.26864954e+00,1.27793030e+00,1.29176858e+00,1.30385151e+00,1.22990337e+00,1.23027438e+00,3.70051240e-02
"2020-Sep-16",1.20148438e+00,1.21275768e+00,1.22584268e+00,1.23472421e+00,1.24181356e+00,1.24791722e+00,1.25341554e+00,1.25852497e+00,1.26338616e+00,1.26810131e+00,1.27275316e+00,1.27741636e+00,1.28216634e+00,1.28708818e+00,1.29228865e+00,1.29791646e+00,1.30420245e+00,1.31155507e+00,1.32084544e+00,1.33469546e+00,1.34678609e+00,1.27275316e+00,1.27311294e+00,3.70702031e-02
"2020-Sep-17",1.25357869e+00,1.26490591e+00,1.27805024e+00,1.28697007e+00,1.29408887e+00,1.30021709e+00,1.30573691e+00,1.31086578e+00,1.31574500e+00,1.32047721e+00,1.32514547e+00,1.32982471e+00,1.33459061e+00,1.33952849e+00,1.34474542e+00,1.35039046e+00,1.35669503e+00,1.36406845e+00,1.37338370e+00,1.38726793e+00,1.39938565e+00,1.32514547e+00,1.32549344e+00,3.71989069e-02
"2020-Sep-18",1.30885547e+00,1.32021430e+00,1.33339196e+00,1.34233236e+00,1.34946642e+00,1.35560695e+00,1.36113721e+00,1.36627525e+00,1.37116270e+00,1.37590244e+00,1.38057770e+00,1.38526353e+00,1.39003570e+00,1.39497961e+00,1.40020242e+00,1.40585323e+00,1.41216352e+00,1.41954269e+00,1.42886374e+00,1.44275365e+00,1.45487346e+00,1.38057770e+00,1.38091267e+00,3.72525505e-02
"2020-Sep-19",1.35997952e+00,1.37130809e+00,1.38444737e+00,1.39335976e+00,1.40047033e+00,1.40658984e+00,1.41210055e+00,1.41721988e+00,1.42208907e+00,1.42681067e+00,1.43146761e+00,1.43613467e+00,1.44088729e+00,1.44581051e+00,1.45101095e+00,1.45663700e+00,1.46291894e+00,1.47026404e+00,1.47954064e+00,1.49336141e+00,1.50541810e+00,1.43146761e+00,1.43178811e+00,3.71045469e-02
"2020-Sep-20",1.40016424e+00,1.41137428e+00,1.42437307e+00,1.43318835e+00,1.44022040e+00,1.44627160e+00,1.45172022e+00,1.45678139e+00,1.46159481e+00,1.46626194e+00,1.47086477e+00,1.47547722e+00,1.48017384e+00,1.48503863e+00,1.49017690e+00,1.49573517e+00,1.50194079e+00,1.50919579e+00,1.51835732e+00,1.53200397e+00,1.54390620e+00,1.47086477e+00,1.47116946e+00,3.66715410e-02
"2020-Sep-21",1.42513564e+00,1.43613170e+00,1.44887971e+00,1.45752332e+00,1.46441751e+00,1.47034944e+00,1.47569015e+00,1.48065066e+00,1.48536797e+00,1.48994155e+00,1.49445178e+00,1.49897110e+00,1.50357255e+00,1.50833840e+00,1.51337176e+00,1.51881608e+00,1.52489392e+00,1.53199880e+00,1.54096959e+00,1.55432980e+00,1.56597993e+00,1.49445178e+00,1.49473969e+00,3.59321490e-02
"2020-Sep-22",1.43407938e+00,1.44477829e+00,1.45717955e+00,1.46558670e+00,1.47229149e+00,1.47805990e+00,1.48325296e+00,1.48807595e+00,1.49266217e+00,1.49710835e+00,1.50149265e+00,1.50588550e+00,1.51035789e+00,1.51498975e+00,1.51988127e+00,1.52517177e+00,1.53107740e+00,1.53798033e+00,1.54669516e+00,1.55967217e+00,1.57098621e+00,1.50149265e+00,1.50176342e+00,3.49275119e-02
"2020-Sep-23",1.42845228e+00,1.43879309e+00,1.45077738e+00,1.45890069e+00,1.46537848e+00,1.47095112e+00,1.47596757e+00,1.48062623e+00,1.48505591e+00,1.48935008e+00,1.49358425e+00,1.49782643e+00,1.50214517e+00,1.50661764e+00,1.51134055e+00,1.51644836e+00,1.52214966e+00,1.52881320e+00,1.53722500e+00,1.54974909e+00,1.56066663e+00,1.49358425e+00,1.49383811e+00,3.37302791e-02
