"Variables ->","Q_025","Q_05","Q_10","Q_15","Q_20","Q_25","Q_30","Q_35","Q_40","Q_45","Q_50","Q_55","Q_60","Q_65","Q_70","Q_75","Q_80","Q_85","Q_90","Q_95","Q_975","median","mean","std"
"Comments ->","","","","","","","","","","","","","","","","","","","","","","","",""
"Class[Size] ->","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]"
"2020-Sep-13",1.09681851e+00,1.12553156e+00,1.15925967e+00,1.18239582e+00,1.20100327e+00,1.21712245e+00,1.23172091e+00,1.24535271e+00,1.25838086e+00,1.27107209e+00,1.28364522e+00,1.29630100e+00,1.30924554e+00,1.32271489e+00,1.33700896e+00,1.35254926e+00,1.36999470e+00,1.39051706e+00,1.41662678e+00,1.45591839e+00,1.49057472e+00,1.28364522e+00,1.28626192e+00,1.00503628e-01
"2020-Sep-14",1.08524430e+00,1.11318402e+00,1.14599365e+00,1.16849369e+00,1.18658608e+00,1.20225664e+00,1.21644687e+00,1.22969587e+00,1.24235674e+00,1.25468886e+00,1.26690495e+00,1.27920010e+00,1.29177448e+00,1.30485731e+00,1.31873969e+00,1.33383069e+00,1.35076966e+00,1.37069344e+00,1.39603737e+00,1.43416788e+00,1.46779174e+00,1.26690495e+00,1.26940755e+00,9.76410495e-02
"2020-Sep-15",1.08708604e+00,1.11449183e+00,1.14666226e+00,1.16871661e+00,1.18644643e+00,1.20179999e+00,1.21570086e+00,1.22867773e+00,1.24107682e+00,1.25315235e+00,1.26511273e+00,1.27714899e+00,1.28945705e+00,1.30226113e+00,1.31584592e+00,1.33061135e+00,1.34718235e+00,1.36666994e+00,1.39145390e+00,1.42873138e+00,1.46159292e+00,1.26511273e+00,1.26751475e+00,9.55868645e-02
"2020-Sep-16",1.10471257e+00,1.13181893e+00,1.16362269e+00,1.18541653e+00,1.20293169e+00,1.21809568e+00,1.23182203e+00,1.24463356e+00,1.25687250e+00,1.26879007e+00,1.28059208e+00,1.29246706e+00,1.30460826e+00,1.31723671e+00,1.33063291e+00,1.34519076e+00,1.36152564e+00,1.38073137e+00,1.40515046e+00,1.44186605e+00,1.47421964e+00,1.28059208e+00,1.28290226e+00,9.43084037e-02
"2020-Sep-17",1.13922887e+00,1.16624348e+00,1.19792106e+00,1.21961729e+00,1.23704763e+00,1.25213371e+00,1.26578600e+00,1.27852544e+00,1.29069289e+00,1.30253840e+00,1.31426671e+00,1.32606522e+00,1.33812588e+00,1.35066805e+00,1.36396998e+00,1.37842223e+00,1.39463475e+00,1.41369151e+00,1.43791338e+00,1.47431646e+00,1.50637928e+00,1.31426671e+00,1.31648924e+00,9.37041476e-02
"2020-Sep-18",1.18932795e+00,1.21639872e+00,1.24812075e+00,1.26983451e+00,1.28727156e+00,1.30235825e+00,1.31600703e+00,1.32873975e+00,1.34089773e+00,1.35273120e+00,1.36444489e+00,1.37622602e+00,1.38826616e+00,1.40078409e+00,1.41405714e+00,1.42847435e+00,1.44464311e+00,1.46364250e+00,1.48778240e+00,1.52404380e+00,1.55596400e+00,1.36444489e+00,1.36657987e+00,9.35697750e-02
"2020-Sep-19",1.25027539e+00,1.27744523e+00,1.30926007e+00,1.33102334e+00,1.34849213e+00,1.36360065e+00,1.37726474e+00,1.39000801e+00,1.40217275e+00,1.41400973e+00,1.42572396e+00,1.43750271e+00,1.44953745e+00,1.46204661e+00,1.47530690e+00,1.48970628e+00,1.50585018e+00,1.52481392e+00,1.54889870e+00,1.58505715e+00,1.61686734e+00,1.42572396e+00,1.42776686e+00,9.35552879e-02
"2020-Sep-20",1.31590719e+00,1.34311772e+00,1.37495638e+00,1.39672160e+00,1.41418374e+00,1.42928073e+00,1.44292987e+00,1.45565537e+00,1.46779975e+00,1.47961379e+00,1.49130229e+00,1.50305219e+00,1.51505440e+00,1.52752654e+00,1.54074402e+00,1.55509284e+00,1.57117509e+00,1.59005981e+00,1.61403415e+00,1.65000618e+00,1.68163249e+00,1.49130229e+00,1.49324629e+00,9.33309493e-02
"2020-Sep-21",1.37935606e+00,1.40645621e+00,1.43814246e+00,1.45978951e+00,1.47714884e+00,1.49215130e+00,1.50571055e+00,1.51834852e+00,1.53040606e+00,1.54213254e+00,1.55373148e+00,1.56538844e+00,1.57729274e+00,1.58965997e+00,1.60276282e+00,1.61698321e+00,1.63291668e+00,1.65162024e+00,1.67535475e+00,1.71094679e+00,1.74221960e+00,1.55373148e+00,1.55556843e+00,9.25976970e-02
"2020-Sep-22",1.43543709e+00,1.46222818e+00,1.49353120e+00,1.51490325e+00,1.53203450e+00,1.54683454e+00,1.56020668e+00,1.57266672e+00,1.58455138e+00,1.59610684e+00,1.60753385e+00,1.61901528e+00,1.63073751e+00,1.64291262e+00,1.65580866e+00,1.66980085e+00,1.68547405e+00,1.70386600e+00,1.72719581e+00,1.76216195e+00,1.79286650e+00,1.60753385e+00,1.60925667e+00,9.12083372e-02
