"Variables ->","Rt","Rt_real"
"Comments ->","",""
"Class[Size] ->","tseries[350-by-1]","tseries[350-by-1]"
"2020-Aug-02",1.09645631e+00,2.06124222e+00
"2020-Aug-03",1.10742814e+00,1.74023644e+00
"2020-Aug-04",1.11684115e+00,1.54262948e+00
"2020-Aug-05",1.12430172e+00,1.41181142e+00
"2020-Aug-06",1.12982575e+00,1.31928244e+00
"2020-Aug-07",1.13375402e+00,1.25076165e+00
"2020-Aug-08",1.13662737e+00,1.19835579e+00
"2020-Aug-09",1.13903965e+00,1.15687223e+00
"2020-Aug-10",1.14148297e+00,1.12303456e+00
"2020-Aug-11",1.14422842e+00,1.09477504e+00
"2020-Aug-12",1.14727999e+00,1.07066560e+00
"2020-Aug-13",1.15038214e+00,1.04974334e+00
"2020-Aug-14",1.15306515e+00,1.03136552e+00
"2020-Aug-15",1.15472590e+00,1.01511429e+00
"2020-Aug-16",1.15473502e+00,1.00073418e+00
"2020-Aug-17",1.15255991e+00,9.88087344e-01
"2020-Aug-18",1.14787303e+00,9.77108832e-01
"2020-Aug-19",1.14061689e+00,9.67768110e-01
"2020-Aug-20",1.13102733e+00,9.60054276e-01
"2020-Aug-21",1.11962185e+00,9.53972230e-01
"2020-Aug-22",1.10716249e+00,9.49521191e-01
"2020-Aug-23",1.09459887e+00,9.46643914e-01
"2020-Aug-24",1.08298654e+00,9.45182182e-01
"2020-Aug-25",1.07338687e+00,9.44886014e-01
"2020-Aug-26",1.06675689e+00,9.45453472e-01
"2020-Aug-27",1.06384126e+00,9.46551743e-01
"2020-Aug-28",1.06507745e+00,9.47820096e-01
"2020-Aug-29",1.07050972e+00,9.48896876e-01
"2020-Aug-30",1.07972777e+00,9.49493491e-01
"2020-Aug-31",1.09186966e+00,9.49478599e-01
"2020-Sep-01",1.10571018e+00,9.48910976e-01
"2020-Sep-02",1.11983235e+00,9.48043104e-01
"2020-Sep-03",1.13283827e+00,9.47339704e-01
"2020-Sep-04",1.14354631e+00,9.47493332e-01
"2020-Sep-05",1.15116312e+00,9.49396607e-01
"2020-Sep-06",1.15541230e+00,9.54053333e-01
"2020-Sep-07",1.15658387e+00,9.62447365e-01
"2020-Sep-08",1.15549364e+00,9.75404727e-01
"2020-Sep-09",1.15336279e+00,9.93422101e-01
"2020-Sep-10",1.15165463e+00,1.01646683e+00
"2020-Sep-11",1.15190416e+00,1.04384793e+00
"2020-Sep-12",1.15553558e+00,1.07422463e+00
"2020-Sep-13",1.16366356e+00,1.10575627e+00
"2020-Sep-14",1.17690492e+00,1.13635359e+00
"2020-Sep-15",1.19523660e+00,1.16397378e+00
"2020-Sep-16",1.21794066e+00,1.18695094e+00
"2020-Sep-17",1.24366075e+00,1.20428643e+00
"2020-Sep-18",1.27055601e+00,1.21575462e+00
"2020-Sep-19",1.29652631e+00,1.22183106e+00
"2020-Sep-20",1.31947567e+00,1.22353862e+00
"2020-Sep-21",1.33756182e+00,1.22226644e+00
"2020-Sep-22",1.34940136e+00,1.21959943e+00
"2020-Sep-23",1.35420460e+00,1.21713263e+00
"2020-Sep-24",1.35181278e+00,1.21626281e+00
"2020-Sep-25",1.34267039e+00,1.21805268e+00
"2020-Sep-26",1.32777129e+00,1.22319091e+00
"2020-Sep-27",1.30858993e+00,1.23198957e+00
"2020-Sep-28",1.28701205e+00,1.24439158e+00
"2020-Sep-29",1.26523000e+00,1.25997066e+00
"2020-Sep-30",1.24557613e+00,1.27797817e+00
