"Variables ->","Rt","Rt_real"
"Comments ->","",""
"Class[Size] ->","tseries[350-by-1]","tseries[350-by-1]"
"2021-Jan-25",9.89050051e-01,1.32456907e+00
"2021-Jan-26",1.00467674e+00,1.33405811e+00
"2021-Jan-27",1.02002957e+00,1.34513443e+00
"2021-Jan-28",1.03470477e+00,1.35733489e+00
"2021-Jan-29",1.04845248e+00,1.37009319e+00
"2021-Jan-30",1.06116566e+00,1.38280797e+00
"2021-Jan-31",1.07286545e+00,1.39492800e+00
"2021-Feb-01",1.08366025e+00,1.40603466e+00
"2021-Feb-02",1.09369541e+00,1.41589799e+00
"2021-Feb-03",1.10315114e+00,1.42448026e+00
"2021-Feb-04",1.11217688e+00,1.43190310e+00
"2021-Feb-05",1.12092340e+00,1.43843313e+00
"2021-Feb-06",1.12949669e+00,1.44443803e+00
"2021-Feb-07",1.13797968e+00,1.45033142e+00
"2021-Feb-08",1.14645567e+00,1.45649976e+00
"2021-Feb-09",1.15492321e+00,1.46324626e+00
"2021-Feb-10",1.16339398e+00,1.47079588e+00
"2021-Feb-11",1.17184925e+00,1.47927683e+00
"2021-Feb-12",1.18008984e+00,1.48870550e+00
"2021-Feb-13",1.18815178e+00,1.49906127e+00
"2021-Feb-14",1.19591582e+00,1.51027242e+00
"2021-Feb-15",1.20212480e+00,1.52209589e+00
"2021-Feb-16",1.20885349e+00,1.53455260e+00
"2021-Feb-17",1.21459397e+00,1.54761555e+00
"2021-Feb-18",1.21256244e+00,1.56052236e+00
