"","date","X0.1","X0.25","X0.5","X0.75","X0.9","ventilated"
"58",2021-02-09,NA,NA,NA,NA,NA,321
"59",2021-02-08,NA,NA,NA,NA,NA,316
"60",2021-02-07,NA,NA,NA,NA,NA,312
"61",2021-02-06,NA,NA,NA,NA,NA,297
"62",2021-02-05,NA,NA,NA,NA,NA,299
"63",2021-02-04,NA,NA,NA,NA,NA,293
"64",2021-02-03,NA,NA,NA,NA,NA,281
"65",2021-02-02,NA,NA,NA,NA,NA,287
"66",2021-02-01,NA,NA,NA,NA,NA,307
"67",2021-01-31,NA,NA,NA,NA,NA,316
"68",2021-01-30,NA,NA,NA,NA,NA,307
"69",2021-01-29,NA,NA,NA,NA,NA,305
"70",2021-01-28,NA,NA,NA,NA,NA,308
"71",2021-01-27,NA,NA,NA,NA,NA,312
"72",2021-01-26,NA,NA,NA,NA,NA,310
"73",2021-01-25,NA,NA,NA,NA,NA,319
"74",2021-01-24,NA,NA,NA,NA,NA,315
"75",2021-01-23,NA,NA,NA,NA,NA,321
"76",2021-01-22,NA,NA,NA,NA,NA,328
"77",2021-01-21,NA,NA,NA,NA,NA,322
"78",2021-01-20,NA,NA,NA,NA,NA,319
"79",2021-01-19,NA,NA,NA,NA,NA,311
"80",2021-01-18,NA,NA,NA,NA,NA,296
"81",2021-01-17,NA,NA,NA,NA,NA,297
"82",2021-01-16,NA,NA,NA,NA,NA,287
"83",2021-01-15,NA,NA,NA,NA,NA,277
"84",2021-01-14,NA,NA,NA,NA,NA,279
"85",2021-01-13,NA,NA,NA,NA,NA,246
"86",2021-01-12,NA,NA,NA,NA,NA,253
"87",2021-01-11,NA,NA,NA,NA,NA,261
"88",2021-01-10,NA,NA,NA,NA,NA,251
"89",2021-01-09,NA,NA,NA,NA,NA,253
"90",2021-01-08,NA,NA,NA,NA,NA,249
