"","date","X0.1","X0.25","X0.5","X0.75","X0.9","newcases"
"40",2021-02-27,6650.9,7039,7610,8350.25,9084.1,NA
"41",2021-02-26,5510,5819.75,6258,6849.25,7457.3,NA
"42",2021-02-25,5091,5394,5784,6316.25,6908.2,NA
"43",2021-02-24,5253.7,5564,5948.5,6441,6931.3,NA
"44",2021-02-23,5507.9,5830,6212,6673.5,7144.2,NA
"45",2021-02-22,5903.8,6247.75,6615,7029,7511.3,NA
"46",2021-02-21,5782.9,6090,6432.5,6819.5,7244.8,NA
"47",2021-02-20,6741.5,7344,7884.5,8335,8808.2,NA
"48",2021-02-19,5897.9,6272.75,6603,6946.25,7329.2,NA
"49",2021-02-18,NA,NA,NA,NA,NA,8356.46637785793
"50",2021-02-17,NA,NA,NA,NA,NA,8399.36737183463
"51",2021-02-16,NA,NA,NA,NA,NA,8374.84586679827
"52",2021-02-15,NA,NA,NA,NA,NA,8853.87617534358
"53",2021-02-14,NA,NA,NA,NA,NA,8514.23921715105
"54",2021-02-13,NA,NA,NA,NA,NA,10369.5567311096
"55",2021-02-12,NA,NA,NA,NA,NA,8940.72987427621
"56",2021-02-11,NA,NA,NA,NA,NA,8186.40466888624
"57",2021-02-10,NA,NA,NA,NA,NA,8576.03456317836
"58",2021-02-09,NA,NA,NA,NA,NA,8695.65920195894
"59",2021-02-08,NA,NA,NA,NA,NA,9324.02578586895
"60",2021-02-07,NA,NA,NA,NA,NA,8993.72380281741
"61",2021-02-06,NA,NA,NA,NA,NA,11206.245773016
"62",2021-02-05,NA,NA,NA,NA,NA,8795.26051545572
"63",2021-02-04,NA,NA,NA,NA,NA,8626.90522430692
"64",2021-02-03,NA,NA,NA,NA,NA,8885.96403218896
"65",2021-02-02,NA,NA,NA,NA,NA,8536.95807578571
"66",2021-02-01,NA,NA,NA,NA,NA,8947.09705329828
"67",2021-01-31,NA,NA,NA,NA,NA,8388.26698644568
"68",2021-01-30,NA,NA,NA,NA,NA,9860.87051858429
"69",2021-01-29,NA,NA,NA,NA,NA,8042.49338105028
"70",2021-01-28,NA,NA,NA,NA,NA,7402.52166705891
"71",2021-01-27,NA,NA,NA,NA,NA,7051.80100800528
"72",2021-01-26,NA,NA,NA,NA,NA,7895.41384276847
"73",2021-01-25,NA,NA,NA,NA,NA,8090.56596872197
"74",2021-01-24,NA,NA,NA,NA,NA,8006
"75",2021-01-23,NA,NA,NA,NA,NA,10534
"76",2021-01-22,NA,NA,NA,NA,NA,7917.59388059865
"77",2021-01-21,NA,NA,NA,NA,NA,8348.64686751719
"78",2021-01-20,NA,NA,NA,NA,NA,7496.90267859258
"79",2021-01-19,NA,NA,NA,NA,NA,7934.74432595811
"80",2021-01-18,NA,NA,NA,NA,NA,8309.15516831144
"81",2021-01-17,NA,NA,NA,NA,NA,6634.94488076114
"82",2021-01-16,NA,NA,NA,NA,NA,7232
"83",2021-01-15,NA,NA,NA,NA,NA,7074.61657378443
"84",2021-01-14,NA,NA,NA,NA,NA,7083.84412939797
"85",2021-01-13,NA,NA,NA,NA,NA,7411.94131825582
"86",2021-01-12,NA,NA,NA,NA,NA,7850.68656882155
"87",2021-01-11,NA,NA,NA,NA,NA,7892.84165000662
"88",2021-01-10,NA,NA,NA,NA,NA,5077
"89",2021-01-09,NA,NA,NA,NA,NA,4352
"90",2021-01-08,NA,NA,NA,NA,NA,8425.99218982342
