"","date","X0.1","X0.25","X0.5","X0.75","X0.9","hospitalized"
"31",2021-03-08,3076.29811274356,3285.76196419001,3625.2939981562,4057.41649838033,4491.04813260421,NA
"32",2021-03-07,3131.31680944638,3333.55337651742,3652.1729433656,4063.74205771544,4472.65299656277,NA
"33",2021-03-06,3185.60263889965,3380.76688945534,3675.44897417596,4065.8166860709,4451.99126941753,NA
"34",2021-03-05,3243.38346772301,3432.51759761407,3705.43908640677,4074.07915984553,4437.88523173584,NA
"35",2021-03-04,3308.05774258584,3493.61098965604,3748.66589091983,4096.11886909132,4437.63250686182,NA
"36",2021-03-03,3376.95659339779,3560.12021990676,3798.98058066077,4125.15784943257,4444.85319425193,NA
"37",2021-03-02,3445.20691163881,3624.06188147115,3847.69302457483,4150.08384562657,4447.85328864193,NA
"38",2021-03-01,3514.20882762358,3686.37213914003,3896.56694806641,4170.60651640374,4447.13712614959,NA
"39",2021-02-28,3584.12256757653,3748.4912127695,3946.44333238055,4189.49485138715,4445.04954954282,NA
"40",2021-02-27,3648.21516684222,3803.19177806249,3987.24793022354,4200.22559167316,4432.65731353265,NA
"41",2021-02-26,3711.87602812515,3855.91997555385,4024.41436232602,4208.98623408007,4415.20598317735,NA
"42",2021-02-25,3773.01446595919,3904.61649252938,4056.793664404,4213.35851091708,4391.84805074215,NA
"43",2021-02-24,3813.67738343295,3930.79582481844,4064.43771164181,4193.91051651691,4344.51066174846,NA
"44",2021-02-23,3831.62940833089,3932.18153365281,4044.85823839652,4148.27477534861,4270.92951505415,NA
"45",2021-02-22,3834.013032042,3916.05084277801,4005.88917051333,4083.97632422171,4177.94269198063,NA
"46",2021-02-21,3816.94195306169,3878.248741794,3943.06567040877,3996.42202597975,4061.13091174474,NA
"47",2021-02-20,3778.43844595567,3816.63963376016,3854.10552698643,3883.2348963908,3918.2012041879,NA
"48",2021-02-19,3720.26350683697,3733.09585439359,3741.02516747309,3746.47238103871,3751.123505886,NA
"49",2021-02-18,NA,NA,NA,NA,NA,3626
"50",2021-02-17,NA,NA,NA,NA,NA,3605
"51",2021-02-16,NA,NA,NA,NA,NA,3632
"52",2021-02-15,NA,NA,NA,NA,NA,3683
"53",2021-02-14,NA,NA,NA,NA,NA,3630
"54",2021-02-13,NA,NA,NA,NA,NA,3558
"55",2021-02-12,NA,NA,NA,NA,NA,3534
"56",2021-02-11,NA,NA,NA,NA,NA,3566
"57",2021-02-10,NA,NA,NA,NA,NA,3447
"58",2021-02-09,NA,NA,NA,NA,NA,3509
"59",2021-02-08,NA,NA,NA,NA,NA,3453
"60",2021-02-07,NA,NA,NA,NA,NA,3440
"61",2021-02-06,NA,NA,NA,NA,NA,3380
"62",2021-02-05,NA,NA,NA,NA,NA,3328
"63",2021-02-04,NA,NA,NA,NA,NA,3376
"64",2021-02-03,NA,NA,NA,NA,NA,3412
"65",2021-02-02,NA,NA,NA,NA,NA,3355
"66",2021-02-01,NA,NA,NA,NA,NA,3360
"67",2021-01-31,NA,NA,NA,NA,NA,3335
"68",2021-01-30,NA,NA,NA,NA,NA,3243
"69",2021-01-29,NA,NA,NA,NA,NA,3249
"70",2021-01-28,NA,NA,NA,NA,NA,3285
