"","t_start","t_end","Mean(R)","Std(R)","Median(R)","Q_025","Q_05","Q_10","Q_15","Q_20","Q_25","Q_30","Q_35","Q_40","Q_45","Q_50","Q_55","Q_60","Q_65","Q_70","Q_75","Q_80","Q_85","Q_90","Q_95","Q_975","Date","Cases"
"101",102,107,1.07934097152413,0.0037696986928024,1.07933658285291,1.07196497598768,1.07314786304937,1.07451273620435,1.07543426339056,1.07616703976477,1.0767959619292,1.07736096229727,1.077884695761,1.07838182453976,1.07886294785951,1.07933658285291,1.07981035644739,1.08029190453785,1.0807897731337,1.0813146171426,1.08188119691077,1.08251234316548,1.0832483308878,1.08417484518677,1.08554905013876,1.0867419075138,2020-11-30,13884.5300984138
"102",103,108,1.0741556162731,0.0037386999414069,1.07415127864361,1.06684023202119,1.06801340901753,1.06936707453199,1.07028103237561,1.07100778850701,1.0716315427545,1.07219189974514,1.07271132837611,1.0732043704645,1.07368153817223,1.07415127864361,1.0746211561041,1.07509874364231,1.07559251694346,1.07611304320359,1.07667496122536,1.0773009136962,1.07803084382665,1.07894973078121,1.08031261956074,1.08149565091235,2020-12-01,13936.0296553963
"103",104,109,1.0680202102694,0.00370693458213958,1.06801592153839,1.06076694592528,1.06193016885696,1.06327234594174,1.06417854531438,1.064899131073,1.06551758873482,1.06607318690141,1.06658820380724,1.06707705785145,1.06755017195719,1.06801592153839,1.06848180656441,1.06895533576784,1.06944491278178,1.06996101494309,1.07051815654318,1.07113878764759,1.07186251162448,1.07277358454177,1.07412488091696,1.07529784711493,2020-12-02,13982.2278122345
"104",105,110,1.06153997764364,0.0036758864219664,1.06153573470989,1.05434743634459,1.05550092768714,1.05683187360473,1.05773048854174,1.05844504251072,1.05905832266621,1.0596092690932,1.0601199736282,1.06060473401662,1.06107388594502,1.06153573470989,1.06199771747324,1.0624672800667,1.06295275570461,1.06346453390618,1.06401700728509,1.06463243767404,1.06535009634978,1.06625353278924,1.0675935006168,1.06875663118208,2020-12-03,14028.7950938507
"105",106,111,1.0552719088434,0.0036467950171171,1.05526770799735,1.04813626596932,1.04928063810418,1.05060105980363,1.05149256783251,1.05220146985309,1.05280989859639,1.05335648630285,1.05386315014197,1.05434407480018,1.05480951422018,1.05526770799735,1.05572603444379,1.05619188045527,1.05667351326807,1.05718124012354,1.05772933963535,1.05833989728291,1.05905187321317,1.0599481549177,1.06127750903447,1.06243142477599,2020-12-04,14080.4740133003
"106",107,112,1.04968457465183,0.00362058879302222,1.04968041192388,1.04260018664011,1.04373634420965,1.04504728566245,1.04593239173703,1.046636202424,1.04724026095261,1.04778292225765,1.04828594616852,1.04876341552777,1.04922551064257,1.04968041192388,1.05013544467062,1.05059794268753,1.05107611377564,1.05158019105714,1.05212435044954,1.05273051856492,1.0534373752692,1.05432721170354,1.05564700452172,1.05679261910012,2020-12-05,14141.1057356969
"107",108,113,1.0451379107076,0.00359786423682428,1.04513378218771,1.03809796473161,1.03922700040494,1.04052972235097,1.04140927766893,1.04210867386204,1.04270894308054,1.04324819984047,1.04374806755793,1.0442225407751,1.04468173595391,1.04513378218771,1.04558595880661,1.04604555357659,1.04652072275602,1.04702163518782,1.04756237772428,1.04816473919359,1.04886715637274,1.04975140317777,1.0510629037513,1.05220131871863,2020-12-06,14213.8919715801
"108",109,114,1.04187894758975,0.00357889992359523,1.04187484969983,1.03487608388076,1.03599917848572,1.03729504322473,1.03816996745638,1.03886568038685,1.03946278784286,1.03999920378511,1.04049643783048,1.04096841085516,1.04142518605356,1.04187484969983,1.04232464276386,1.04278181458882,1.04325447841233,1.04375274942118,1.04429064011681,1.04488982430096,1.04558853580443,1.04646811671644,1.04777269495329,1.04890509926617,2020-12-07,14301.668136565
"109",110,115,1.04005038866793,0.0035636963797026,1.04004631837698,1.03307724486917,1.0341955800206,1.03548595062528,1.036357163881,1.03704992508304,1.03764449855102,1.03817863758075,1.03867376061804,1.03914372951568,1.03959856478322,1.04004631837698,1.04049420051688,1.04094942973973,1.04142008478372,1.04191623780064,1.04245184165138,1.04304847786091,1.04374421744078,1.04462005601448,1.04591908143227,1.04704666359149,2020-12-08,14407.129021796
"110",111,116,1.03971177811171,0.00355203837309942,1.03970773309073,1.03276141171675,1.03387610200479,1.03516226409997,1.03603063413197,1.03672113346707,1.03731376492762,1.03784615877255,1.03833966362041,1.03880809611103,1.03926144404943,1.03970773309073,1.04015414988011,1.04060788932799,1.04107700370509,1.04157153213806,1.04210538170981,1.0427000631056,1.04339352232759,1.04426648896177,1.04556125213759,1.0466851320244,2020-12-09,14532.9895085755
