"","date","X0.1","X0.25","X0.5","X0.75","X0.9","ventilated"
"29",2021-03-16,167.871986531146,185.143506887437,208.717520617611,240.443578887863,274.728291298973,NA
"30",2021-03-15,172.903319308763,189.726720550275,212.751139779362,242.668465380462,276.519749006244,NA
"31",2021-03-14,178.437810668429,195.07274791065,217.648575740176,245.82030886169,278.926192396714,NA
"32",2021-03-13,184.226549986451,201.195092944921,223.520373163559,249.995656420731,281.933749302867,NA
"33",2021-03-12,190.326287030903,207.93431192211,230.157462535405,254.898969548746,285.519313041246,NA
"34",2021-03-11,197.428690210986,215.579673755795,237.367770416435,260.641335390756,289.455722498287,NA
"35",2021-03-10,205.741758745259,224.392607657628,245.105718412536,267.357459198042,293.507484660573,NA
"36",2021-03-09,215.049947767604,234.157704022342,253.443607177232,274.954772609028,297.880018963382,NA
"37",2021-03-08,225.409609560206,244.448973538136,262.366181842702,283.203452349445,303.007532966187,NA
"38",2021-03-07,237.328491897064,255.430858796577,272.212001202026,292.62925984778,309.36430450171,NA
"39",2021-03-06,250.430051626914,267.082531459258,282.795185840464,302.962574335451,316.596476394173,NA
"40",2021-03-05,263.44420464405,278.700095819415,293.313823578468,312.780499242589,323.896053690295,NA
"41",2021-03-04,276.417808459075,290.588222093951,304.154588010823,322.291382017287,331.808671269103,NA
"42",2021-03-03,289.669597452575,302.772426680893,315.302633919494,331.768222375578,340.183169380614,NA
"43",2021-03-02,302.337302823817,314.130083145158,325.353770905702,339.885102149511,347.166361128032,NA
"44",2021-03-01,314.27075592821,324.493024223431,334.093490935307,346.424479531942,352.487467458039,NA
"45",2021-02-28,325.804599646717,334.287711071086,342.065287530286,351.88398998464,356.866268115167,NA
"46",2021-02-27,336.803782466932,343.283459881081,349.00197262604,356.010481243028,359.935414399399,NA
"47",2021-02-26,347.210373225538,351.375541972511,354.779149699601,358.694345475966,361.523340751609,NA
"48",2021-02-25,357.089309108943,358.673682173018,359.521590845627,360.057674981523,361.802399581067,NA
"49",2021-02-24,NA,NA,NA,NA,NA,352
"50",2021-02-23,NA,NA,NA,NA,NA,353
"51",2021-02-22,NA,NA,NA,NA,NA,348
"52",2021-02-21,NA,NA,NA,NA,NA,347
"53",2021-02-20,NA,NA,NA,NA,NA,337
"54",2021-02-19,NA,NA,NA,NA,NA,330
"55",2021-02-18,NA,NA,NA,NA,NA,323
"56",2021-02-17,NA,NA,NA,NA,NA,328
"57",2021-02-16,NA,NA,NA,NA,NA,323
"58",2021-02-15,NA,NA,NA,NA,NA,337
"59",2021-02-14,NA,NA,NA,NA,NA,321
"60",2021-02-13,NA,NA,NA,NA,NA,321
"61",2021-02-12,NA,NA,NA,NA,NA,320
"62",2021-02-11,NA,NA,NA,NA,NA,310
"63",2021-02-10,NA,NA,NA,NA,NA,313
"64",2021-02-09,NA,NA,NA,NA,NA,321
"65",2021-02-08,NA,NA,NA,NA,NA,316
"66",2021-02-07,NA,NA,NA,NA,NA,312
"67",2021-02-06,NA,NA,NA,NA,NA,297
"68",2021-02-05,NA,NA,NA,NA,NA,299
"69",2021-02-04,NA,NA,NA,NA,NA,293
"70",2021-02-03,NA,NA,NA,NA,NA,281
"71",2021-02-02,NA,NA,NA,NA,NA,287
"72",2021-02-01,NA,NA,NA,NA,NA,307
"73",2021-01-31,NA,NA,NA,NA,NA,316
"74",2021-01-30,NA,NA,NA,NA,NA,307
"75",2021-01-29,NA,NA,NA,NA,NA,305
"76",2021-01-28,NA,NA,NA,NA,NA,308
"77",2021-01-27,NA,NA,NA,NA,NA,312
"78",2021-01-26,NA,NA,NA,NA,NA,310
"79",2021-01-25,NA,NA,NA,NA,NA,319
"80",2021-01-24,NA,NA,NA,NA,NA,315
"81",2021-01-23,NA,NA,NA,NA,NA,321
"82",2021-01-22,NA,NA,NA,NA,NA,328
"83",2021-01-21,NA,NA,NA,NA,NA,322
"84",2021-01-20,NA,NA,NA,NA,NA,319
"85",2021-01-19,NA,NA,NA,NA,NA,311
"86",2021-01-18,NA,NA,NA,NA,NA,296
"87",2021-01-17,NA,NA,NA,NA,NA,297
"88",2021-01-16,NA,NA,NA,NA,NA,287
"89",2021-01-15,NA,NA,NA,NA,NA,277
"90",2021-01-14,NA,NA,NA,NA,NA,279
