"","date","X0.1","X0.25","X0.5","X0.75","X0.9","hospitalized"
"27",2021-03-18,1898.4640045718,2075.90557522567,2350.07895915223,2707.77526076469,3076.64619386563,NA
"28",2021-03-17,1945.93968227217,2116.66583960598,2376.28119555826,2723.95010822306,3068.52719934046,NA
"29",2021-03-16,2000.47840031133,2162.60654397855,2409.00555076124,2742.65159528191,3067.34159136611,NA
"30",2021-03-15,2060.07647450666,2212.72675196985,2446.23078844709,2763.80773268347,3071.20555995596,NA
"31",2021-03-14,2123.84380151258,2268.69727027876,2489.68369547751,2790.61181153857,3080.77976252853,NA
"32",2021-03-13,2190.11305639059,2330.28762950459,2539.38300475579,2822.47342099101,3095.48227987036,NA
"33",2021-03-12,2260.01665877367,2396.79203300654,2594.24967776566,2858.3296813544,3114.82125923646,NA
"34",2021-03-11,2336.86412217355,2469.16829662333,2654.36384423945,2900.66518049427,3139.59245774812,NA
"35",2021-03-10,2421.16917289296,2547.21527590389,2718.54706534616,2949.46395565361,3168.38945873952,NA
"36",2021-03-09,2511.87569567416,2631.10670896256,2787.6757463049,3004.24877451519,3202.06407307338,NA
"37",2021-03-08,2609.93844168811,2722.36273548607,2864.91228292317,3066.81232060428,3244.79939916377,NA
"38",2021-03-07,2719.81447389119,2825.60236713634,2955.56089381468,3142.65046444016,3302.87514665918,NA
"39",2021-03-06,2838.45009202357,2937.63013981868,3055.81551747208,3228.17267565701,3371.47651385479,NA
"40",2021-03-05,2955.53390243196,3048.24447958491,3155.17312952129,3311.54203645247,3438.14483213482,NA
"41",2021-03-04,3073.30511319435,3160.50722471706,3257.27177591006,3395.86683339851,3506.22989864645,NA
"42",2021-03-03,3193.48619749061,3275.10687852089,3362.3791829346,3482.21704422884,3577.09260277296,NA
"43",2021-03-02,3304.99065932026,3378.28186458373,3454.93684674356,3555.69828788372,3635.29091425275,NA
"44",2021-03-01,3406.04487507504,3467.9371956055,3532.59802362187,3614.02131628598,3678.39370167514,NA
"45",2021-02-28,3500.73424823937,3549.44200936502,3601.43906387021,3662.97358297334,3712.35320983021,NA
"46",2021-02-27,3586.76082345176,3620.23091706799,3658.53610466083,3699.7757593083,3734.30247275748,NA
"47",2021-02-26,3663.07772218273,3679.13751287465,3702.57482882584,3723.16410492347,3742.94252236149,NA
"48",2021-02-25,3730.76733686588,3727.37961713205,3734.9534814459,3734.45511510437,3739.62891450041,NA
"49",2021-02-24,NA,NA,NA,NA,NA,3654
"50",2021-02-23,NA,NA,NA,NA,NA,3682
"51",2021-02-22,NA,NA,NA,NA,NA,3723
"52",2021-02-21,NA,NA,NA,NA,NA,3672
"53",2021-02-20,NA,NA,NA,NA,NA,3565
"54",2021-02-19,NA,NA,NA,NA,NA,3578
"55",2021-02-18,NA,NA,NA,NA,NA,3626
"56",2021-02-17,NA,NA,NA,NA,NA,3605
"57",2021-02-16,NA,NA,NA,NA,NA,3632
"58",2021-02-15,NA,NA,NA,NA,NA,3683
"59",2021-02-14,NA,NA,NA,NA,NA,3630
"60",2021-02-13,NA,NA,NA,NA,NA,3558
"61",2021-02-12,NA,NA,NA,NA,NA,3534
"62",2021-02-11,NA,NA,NA,NA,NA,3566
"63",2021-02-10,NA,NA,NA,NA,NA,3447
"64",2021-02-09,NA,NA,NA,NA,NA,3509
"65",2021-02-08,NA,NA,NA,NA,NA,3453
"66",2021-02-07,NA,NA,NA,NA,NA,3440
"67",2021-02-06,NA,NA,NA,NA,NA,3380
"68",2021-02-05,NA,NA,NA,NA,NA,3328
"69",2021-02-04,NA,NA,NA,NA,NA,3376
"70",2021-02-03,NA,NA,NA,NA,NA,3412
